ROASTER,ROAST,LOC_COUNTRY,ORIGIN,100G_USD,RATING
175,4,11,9,83,7
62,4,11,9,42,6
191,4,11,9,113,7
179,1,2,9,293,5
94,4,4,10,35,5
159,4,10,14,145,8
94,4,4,10,12,7
94,1,4,10,35,2
94,1,4,10,74,2
94,2,4,10,4,3
94,1,4,10,74,5
94,4,4,10,74,7
94,1,4,10,35,3
94,2,4,10,4,4
79,4,3,18,337,11
66,4,11,9,105,8
263,4,11,9,92,8
263,4,11,14,92,9
263,4,11,9,92,8
291,1,10,9,160,9
247,2,10,9,231,11
200,4,11,11,291,9
132,4,11,14,129,8
192,4,11,9,104,7
200,4,11,11,304,9
192,4,11,9,116,8
192,4,11,9,113,7
200,1,11,18,329,10
200,4,11,9,151,10
132,4,11,26,185,8
138,1,11,10,214,9
227,4,11,4,156,8
219,4,11,14,81,9
67,4,11,3,176,7
67,4,11,9,144,8
110,1,10,9,211,8
299,1,11,18,219,10
68,4,11,9,104,9
299,4,11,9,219,9
68,4,11,9,104,7
106,4,11,4,151,7
110,4,10,9,183,8
150,2,5,11,158,6
45,4,11,3,249,9
45,4,11,3,218,7
132,4,11,10,104,9
144,4,10,9,222,11
134,4,11,25,92,8
132,4,11,9,113,10
144,4,10,9,13,10
132,4,11,9,104,8
134,4,11,11,221,7
274,1,10,9,238,10
200,4,11,13,151,9
126,4,10,4,105,9
126,4,10,9,77,8
46,1,10,9,144,9
88,4,11,3,136,8
20,1,11,4,113,6
132,4,11,14,129,9
150,4,5,11,205,7
189,4,11,10,104,8
138,1,11,9,151,7
132,4,11,9,104,9
244,4,10,18,134,9
291,4,10,9,125,8
291,4,10,9,125,8
244,4,10,13,90,8
291,1,10,9,50,6
128,4,5,11,290,10
159,4,10,3,66,8
132,4,11,26,219,9
286,1,11,8,129,9
286,4,11,9,88,8
286,4,11,10,129,8
29,1,11,3,326,11
200,1,11,3,317,12
171,4,5,11,318,9
200,4,11,11,317,9
200,4,11,11,291,10
200,4,11,12,214,8
171,4,5,11,320,7
171,4,5,11,224,6
200,2,11,11,271,7
12,4,10,9,7,7
200,1,11,3,244,11
144,4,10,9,79,10
251,4,11,9,113,9
138,1,11,9,156,9
162,4,11,9,104,9
251,4,11,9,113,9
144,4,10,14,85,9
167,1,10,12,167,8
293,4,10,14,213,10
200,4,11,11,304,10
110,2,10,18,302,10
128,2,5,11,309,10
247,3,10,7,341,10
200,3,11,13,185,9
236,2,5,11,207,9
53,3,11,13,51,8
119,3,10,14,142,8
204,3,11,14,38,7
262,0,11,13,35,5
144,4,10,22,222,9
165,4,11,9,92,9
138,1,11,9,156,10
132,4,11,9,104,9
138,1,11,3,156,9
186,2,11,15,92,7
219,4,11,4,112,8
219,4,11,10,81,7
229,4,8,14,141,9
132,4,11,2,129,7
200,4,11,7,342,11
132,4,11,13,144,9
110,2,10,14,183,10
132,4,11,5,104,8
87,4,11,14,113,8
220,4,11,9,108,10
200,4,11,11,304,9
200,1,11,3,244,9
70,4,10,9,77,9
70,4,10,9,77,8
70,4,10,4,105,9
70,4,10,9,77,9
70,4,10,10,77,8
298,4,11,10,92,8
64,4,11,4,136,9
64,4,11,14,74,8
64,4,11,12,98,8
64,4,11,21,136,7
291,4,10,9,107,9
201,4,11,1,168,8
260,4,10,1,72,8
46,4,10,4,159,9
200,4,11,3,185,9
200,4,11,3,220,9
299,4,11,3,113,8
1,4,10,9,124,7
1,4,10,9,124,5
127,4,11,3,108,7
127,4,11,3,92,5
201,4,11,17,92,8
201,4,11,3,113,8
217,4,10,9,276,9
7,4,10,14,131,9
144,4,10,14,107,11
132,4,11,14,136,10
132,4,11,9,104,9
144,4,10,9,62,10
144,4,10,9,62,10
235,4,11,9,88,8
170,4,11,9,92,8
299,4,11,9,219,8
200,4,11,3,185,9
199,4,11,3,151,9
110,4,10,3,254,9
18,4,11,9,97,10
103,4,10,9,85,10
128,4,5,11,305,10
299,4,11,3,163,10
199,4,11,18,307,10
200,4,11,11,304,10
165,4,11,9,104,9
165,4,11,4,104,8
228,4,11,4,136,9
228,4,11,9,108,7
173,4,11,3,252,10
42,4,10,14,78,9
173,4,11,20,251,8
42,4,10,4,220,8
42,4,10,9,78,7
134,4,11,15,45,6
138,4,11,14,136,8
281,1,11,9,129,8
100,4,11,9,67,8
39,4,11,3,112,8
199,4,11,18,237,10
110,1,10,18,21,10
79,4,3,18,340,9
110,4,10,4,201,9
110,4,10,4,201,8
224,4,11,2,121,9
138,4,11,3,156,8
138,4,11,2,113,7
217,4,10,9,243,9
43,4,10,4,208,7
144,4,10,22,251,9
288,2,11,19,91,7
288,4,11,1,91,5
132,4,11,9,104,9
200,1,11,3,220,9
1,1,10,9,124,8
1,4,10,9,124,8
219,4,11,21,87,8
172,4,11,8,99,10
29,4,11,9,129,9
261,1,10,9,164,8
132,4,11,13,121,9
62,1,11,13,69,9
62,4,11,3,42,7
